temperature,pressure,enth_mol,entr_mol,vol_mol,q,z
466.5756,844840.0,42643.00734412646,99.70740138254298,0.004034518215764666,1.0,0.8786369240175652
545.1632,645967.0,54493.499609080296,125.21596118405046,0.006655216773342315,1.0,0.948443207897616
447.9033,12573.0,41787.6510937155,131.81498580594118,0.295648656985196,1.0,0.9981501784852903
542.3775,2153891.0,51799.85856608525,111.31630916130491,0.0016802732532418365,1.0,0.8025411238977693
530.4226,1721540.0,50607.33691012433,110.6180839709404,0.0021366597144653623,1.0,0.8340571017117793
454.9962,281826.0,42203.16541954687,107.20617792055812,0.012875975354935542,1.0,0.9592211560616344
550.8257,1287168.0,54526.077959414724,119.96937970920496,0.003190983296553125,1.0,0.896831585013678
506.0922,950474.0,48171.03056628965,110.20512361264333,0.003977069662602929,1.0,0.8983366546777753
528.9195,2318481.0,49190.29397843317,105.96553579113817,0.001435840899366193,1.0,0.7569820950916484
514.6706,2409002.0,46452.13195842759,100.48345434957928,0.0012531810581407731,1.0,0.7054836397094697
527.9956,308369.0,52349.32793689865,127.1339835573511,0.013853377299247162,1.0,0.9731087919446731
506.9566,276372.0,49338.65610115428,122.20185979201035,0.014830519929121485,1.0,0.9724000256505959
547.7954,678634.0,54855.311892613034,125.48937446415387,0.006353328094812907,1.0,0.9466377987646266
536.7474,3015131.0,48887.321475845965,103.82966904677517,0.0009963959157006871,1.0,0.6731835576175176
556.7022,2659058.0,53335.24683189029,112.73093613392437,0.0013436714876281335,1.0,0.7719040140046323
499.4868,179864.0,48419.1464037497,123.86424415791856,0.022656984962159173,1.0,0.9812680832693774
505.5448,407281.0,48946.3194088625,118.31270756450112,0.00989196367156623,1.0,0.9584784224527572
515.6298,1188053.0,49207.51661456682,110.58542616621946,0.0031707183986254355,1.0,0.8786598948701947
552.6483,3741472.0,49978.776261573614,104.6786278328811,0.0007532339819902228,1.0,0.6133224908742934
508.3353,385669.0,49379.033340766255,119.60149688512158,0.010536967493267421,1.0,0.9614914523479874
534.9077,2653570.0,49479.793618019976,105.67837196638294,0.0012132997248098217,1.0,0.7239109118055285
545.1529,3227301.0,49951.06625522358,105.41678841324773,0.0009390918003142736,1.0,0.6686433337335924
545.0,3123285.0,50198.70962011572,106.05539456626397,0.0009926698767918302,1.0,0.6842034837384745
493.1045,976516.0,46205.64255570704,106.0706543099125,0.0037132910247649545,1.0,0.8844325352427752
540.3388,722847.0,53657.92889898869,122.7934323877152,0.005843388580200967,1.0,0.9401785125817829
525.0473,1935621.0,49336.609130788376,107.4129149342533,0.0018052286770102743,1.0,0.8004227880370632
525.592,789445.0,51334.234611323336,117.74880268685055,0.005134479534727566,1.0,0.9275447770281833
548.9656,91663.0,55738.03858394071,143.3683896514751,0.04945023473583266,1.0,0.9930763021029165
518.0729,629308.0,50445.38923786793,117.80589278688612,0.006434007535707537,1.0,0.93998141626964
548.2836,2750211.0,51668.603876966765,109.50163912461221,0.0012330589830363901,1.0,0.7438920809025988
505.5952,221453.0,49222.888021883715,123.76945530577733,0.01856088288471387,1.0,0.9777832226518536
530.4161,28520.0,53058.24638199969,148.06825673115145,0.15426090038627321,1.0,0.9975944171179941
377.4424,159672.0,33121.13001753777,89.91165775052353,0.018802910743111856,1.0,0.9566839532365353
459.3593,40469.0,43208.40980520633,125.26023598996012,0.0938580663349987,1.0,0.9945048081546037
554.7215,2465611.0,53339.19418501511,113.22824017006964,0.0014759032227510595,1.0,0.7889923025048875
556.344,4229730.0,48968.63718120508,102.26943891882632,0.0005849253910749881,1.0,0.5348537386366541
541.1598,3085003.0,49554.70856113027,104.93935999231788,0.0009877357797135914,1.0,0.6772299774210113
506.228,779245.0,48472.55467892215,112.30150784324834,0.004959400154849801,1.0,0.918168391190754
528.3025,297754.0,52408.35017304091,127.52930196379978,0.01437027618898772,1.0,0.9741041164866963
421.3951,137405.0,38253.58739301114,103.97054119002831,0.024853653013524667,1.0,0.9746947140576371
483.7524,547396.0,45630.347011169215,109.27903498712402,0.006862508005820289,1.0,0.9339565578684154
552.7159,2081295.0,53648.9497668571,114.92563517492437,0.0018219907825262468,1.0,0.8251695304802573
448.9339,948295.0,39903.41493859192,92.89564602973594,0.0032980784937932032,1.0,0.8378907036536043
401.1979,105967.0,35938.678196604524,100.45027833489462,0.03075687658100302,1.0,0.9770561957464636
487.1219,919775.0,45437.33965886479,104.94383407324563,0.003904875896815388,1.0,0.8867812600370987
546.6923,1805841.0,53098.58444001918,114.91028056171052,0.00212682134917707,1.0,0.8449536533601315
547.3254,2394253.0,52198.594908920524,111.35030137258639,0.0014899403958186167,1.0,0.7838963767375416
455.3185,210182.0,42379.543015939526,109.94679094957256,0.017470572350390207,1.0,0.9699574470767595
464.1215,838247.0,42311.04799183304,99.05123279999825,0.004038396351035343,1.0,0.8772322437670654
472.4194,1206575.0,42665.74720240365,97.22737051293768,0.002683890610332926,1.0,0.824435596008682
459.8578,137859.0,43103.72740463419,114.95187114984554,0.027211177185279777,1.0,0.9811247280989468
547.9438,1661852.0,53524.480623611955,116.2776054445401,0.0023583878542249056,1.0,0.8602741660833866
471.9986,777296.0,43549.37394254323,102.25313170564502,0.004514998140799222,1.0,0.8942699202885886
527.9535,1878249.0,49922.87506475667,108.72817606488526,0.0018981871423303166,1.0,0.8121978680367558
505.984,571330.0,48762.922338036355,115.27580843913951,0.006929589042246079,1.0,0.9410724283393442
528.421,2703620.0,48163.024221737636,103.09107694358651,0.0011332305581918131,1.0,0.6973473962522044
492.8769,745903.0,46585.17416649514,108.8563917642916,0.005021281357298389,1.0,0.9139528077478494
545.1821,1542913.0,53260.87244556981,116.3291577859639,0.0025527616901124153,1.0,0.8689113069650775
441.4462,322853.0,40360.417020367604,102.0169726506593,0.010774698860928867,1.0,0.9477581101874104
539.021,1935219.0,51630.68440819073,111.72646736576456,0.001903071520072522,1.0,0.8217597559426759
526.25,2679877.0,47822.889937676,102.49710660147538,0.0011337814739504897,1.0,0.694412346095689
503.9507,1909485.0,45915.54148100551,100.85099842642117,0.0016756866371521802,1.0,0.7636358865630106
478.8163,119099.0,45659.52745549711,121.59386286623058,0.03295190169883033,1.0,0.985791336061162
518.3414,1015978.0,49900.03610783845,113.08244513977682,0.003817618126792311,1.0,0.8999662341553237
